52;72;248
117;43;320
75;23;196
110;80;380
30;36;132
116;117;466
115;66;362
21;20;82
36;73;218
116;67;366
38;15;106
116;15;262
63;98;322
86;99;370
117;13;260
53;119;344
84;58;284
101;37;276
34;85;238
65;12;154
45;117;324
66;21;174
65;118;366
28;77;210
89;67;312
42;24;132
44;52;192
106;44;300
106;74;360
95;29;248
108;66;348
115;67;364
39;82;242
118;105;446
98;48;292
105;74;358
55;88;286
19;29;96
113;20;266
59;91;300
74;14;176
28;75;206
116;43;318
33;35;136
63;60;246
44;19;126
28;92;240
101;75;352
104;17;242
17;57;148
115;64;358
34;24;116
26;62;176
70;82;304
